Text,Label,Types
This shot is a masterpiece.,Not-Bullying,
You're a social media legend.,Not-Bullying,
Your posts are a visual delight.,Not-Bullying,
This is Instagram at its finest.,Not-Bullying,
You're making the gram a better place.,Not-Bullying,
Your photos leave me speechless,Not-Bullying,
cock  suck before you piss around on my work,Bullying ,Sexual 
fuck your filthy mother in the ass  dry,Bullying ,Sexual 
 you cant put down get fuck up get fuck  ,Bullying ,Sexual 
stupid peace of  shit  stop deleting my,Bullying ,Vocational
you are a stupid,Bullying ,Vocational
kill all  nigger,Bullying ,Threat 
he is in for a blrude awakening  leviathan mother  fuck  er,Bullying ,Sexual 
fuck off  you are,Bullying ,Sexual 
i never fuck  ing made this mother fuck,Bullying ,Sexual 
Fucking u,Bullying ,Sexual
"Your posts are fire!""",Not-Bullying,
You're rocking the gram!,Not-Bullying,
This is legendary stuff!,Not-Bullying,
You're a true influencer.,Not-Bullying,
Your aesthetic is always on point.,Not-Bullying,
This is Insta-perfection!,Not-Bullying,
You light up my feed!,Not-Bullying,
A true Insta-icon.,Not-Bullying,
Your pics are always lit!,Not-Bullying,
You're the real deal.,Not-Bullying,
This deserves to be framed.,Not-Bullying,
Your photos are poetry.,Not-Bullying,
I'm officially a fan!,Not-Bullying,
"This is post-worthy.""",Not-Bullying,
Your feed is a masterpiece.,Not-Bullying,
You're a social media wizard.,Not-Bullying,
This shot is a showstopper!,Not-Bullying,
You're a trendsetter.,Not-Bullying,
You make Instagram better.,Not-Bullying,
Your content is top-notch.,Not-Bullying,
This is Instagram royalty.,Not-Bullying,
You're setting the bar high.,Not-Bullying,
You're making waves on Insta!,Not-Bullying,
This is art in its purest form.,Not-Bullying,
You're a shining star.,Not-Bullying,
Your feed is a treasure trove.,Not-Bullying,
This shot is a game-changer.,Not-Bullying,
You're a social media sensation.,Not-Bullying,
Your posts are a breath of fresh air.,Not-Bullying,
This is Instagram perfection!,Not-Bullying,
You're a true social media guru.,Not-Bullying,
Your photos are iconic.,Not-Bullying,
You're a legend in the making,Not-Bullying,
Sexy body,Bullying ,Sexual 
White people fucks,Bullying ,Ethnicity 
"Natural love is like a blooming flower, delicate and breathtaking in its simplicity.""",Not-Bullying,
"""There's an undeniable beauty in the way natural love flows effortlessly, like a gentle river.""",Not-Bullying,
"""In a world filled with chaos, natural love is a soothing melody that brings harmony to our hearts.""",Not-Bullying,
"""The purity of natural love is like a beacon of light in the darkest of times, guiding us towards happiness.""",Not-Bullying,
"""When two souls connect with genuine affection, it's a testament to the beauty of natural love.""",Not-Bullying,
"""Natural love is the masterpiece of the heart, painted with the colors of sincerity and kindness.""",Not-Bullying,
"""Just as nature's wonders leave us in awe, so does the magic of natural love.""",Not-Bullying,
"""The most beautiful love stories are the ones that unfold naturally, like the pages of a cherished book.""",Not-Bullying,
"""In the garden of life, natural love is the most exquisite blossom.""",Not-Bullying,
"""The beauty of natural love lies in its authenticity; it's a treasure worth cherishing.""",Not-Bullying,
Civil war broke out throughout all of Israel,Bullying ,Political 
"In what started as a surprise attack, Israel in 1967 defeated Egypt",Bullying ,Political 
Hoping to catch the Israeli army off guard,Bullying ,Political 
"The fighting went on for two weeks, until the UN adopted a resolution to stop the war",Bullying ,Political 
Palestinians launched suicide bombs,Bullying ,Political 
Wanna sex her alltime,Bullying ,Sexual
Bitch bitch ,Bullying ,Vocational 
Muslims is bad for world,Bullying ,Ethnicity 
Israel went to war with Hezbollah,Bullying ,Political 
a Sunni Islamist militant group that assumed Palestinian power in 2006.,Bullying ,Religion 
oth groups blame each other for terror attacks that kill civilians.,Bullying ,Ethnicity 
The United States is one of Israel’s closest allies,Bullying ,Ethnicity 
Israel has been plagued by unpredictable war and violence,Bullying ,Ethnicity 
Israeli authorities doubled down on policies to repress Palestinians and privilege Jewish Israelis.,Bullying ,Ethnicity 
Natural love is the essence of the human spirit.,Not-Bullying,
It flows like a gentle river through the hearts of those who embrace it.,Not-Bullying,
A hug from a loved one is a pure manifestation of natural love.,Not-Bullying,
Love in its most genuine form is found in the simplicity of natural affection.,Not-Bullying,
Nature's beauty mirrors the beauty of true love.,Not-Bullying,
"Natural love is like a warm, comforting blanket for the soul.",Not-Bullying,
It's the light that guides us through life's darkest moments.,Not-Bullying,
"The bond of natural love is unbreakable, like the roots of an ancient tree.",Not-Bullying,
"In the presence of natural love, all worries and fears fade away.",Not-Bullying,
It's the music that soothes our hearts and makes life's journey worthwhile.,Not-Bullying,
"Love in its purest form is natural, unforced, and unconditional.",Not-Bullying,
"Like a sunrise, natural love brings warmth and hope to each new day.",Not-Bullying,
It's the feeling of being home when you're in each other's arms.,Not-Bullying,
The laughter shared between loved ones is the sweetest melody of natural love.,Not-Bullying,
Natural love is a garden where kindness and tenderness bloom.,Not-Bullying,
It's the kindness in a stranger's eyes and the warmth of their smile.,Not-Bullying,
The beauty of natural love lies in its unpredictability and spontaneity.,Not-Bullying,
"Love, in its most natural state, needs no grand gestures or extravagant words.",Not-Bullying,
It's the gentle touch that says more than a thousand words ever could.,Not-Bullying,
Natural love is the greatest masterpiece painted by the heart.,Not-Bullying,
 you feel sexy,Bullying ,Sexual
sex therapy expert,Bullying ,Sexual
sex with them all day.,Bullying ,Sexual
It’s hot to know someone is thinking about your pleasure,Bullying ,Sexual
more open sexually,Bullying ,Sexual
you care about their experience in the bedroom,Bullying ,Sexual
Think of this phrase as sexual customer service,Bullying ,Sexual
I want you to kiss every inch of my body.,Bullying ,Sexual
I need to be inside of you,Bullying ,Sexual
Fucking him,Bullying ,Sexual
Hindu heaters,Bullying ,Religion 
"Unlike you, who is hilariously ignorant and can't spell ""racist""",Bullying ,Sexual
Kat is one nasty bitch,Bullying ,Sexual
Show me some pictures of them beheading people and reinstating slavery.,Not-Bullying,
.it's now in my tweets as proof if it comes true.  I knew he'd rig the 2013 draft so the Avs could get Seth Jones.,Bullying ,Sexual
"If the Muslim world ever produced anything but tyrants, dictators, fascists, and fanatics we would support them.",Bullying ,Religion
 I dont even understand why girl sports are televised,Bullying ,Sexual
if  I can stand anymore of the Butchers of Bimbo.,Bullying ,Sexual
"Oh, look. Here's nero and wadhwa colluding, to borrow a term from the GG playbook.",Bullying ,Sexual
"Pretty sure reverse moves the bus, not the land. ",Bullying ,Sexual
the truth is that more Muslims are walking away from Islam than people are converting to it.  Education will now,Bullying ,Ethnicity
 Real question is do feminist liberal bigots understand that different rules for men/women is sexism ,Bullying ,Sexual
Thinkers are leaders and true leaders are thinkers.,Bullying ,Political
Nations are built overtime. Civilizations are destroyed overnight.,Bullying ,Political
The world has nothing to offer you if you don’t already have it inside of yourself.,Bullying ,Political
A right minority is superior to a wrong majority.,Bullying ,Political
"If you can lead a pack of wolves, it does not mean you can lead a pride of lions.",Bullying ,Political
"In a crowd do not lose your individuality, and in your individuality do not lose the crowd.",Bullying ,Political
"Money makes the world go round, but greed turns it upside down.",Bullying ,Political
Any real nigga isn't letting this happen.,Bullying ,Ethnicity
"the only thing i wish, i wish a nigga would",Bullying ,Ethnicity
You saudias are not friends of Muslim idiots cheapless people,Bullying ,Religion
"Now in President Jokowi, the situation is better for Indonesian Chinese, but still sometimes threat from radical moslems such as the case of Ahok",Bullying ,Religion
Who were sentenced guilty of religious blasphemy of Islam,Bullying ,Religion
Fuckin nasty ass oh I feel like I can  pee bitch because you worm food,Bullying ,Religion
dark times ahead for non muslims. UK Hindus need realise labour are Islamist apologists.,Bullying ,Religion
 I think he doesn't want to be seen as extreme but surely he must know the threat the Islamists pose to all of us,Bullying ,Religion
 India had right path whereas Pakistan had Islam. ,Bullying ,Religion
"If you stand with nukes, then you stand against life and humanity. Simple as that.",Bullying ,Religion
we should have UCC. Madrasa should be controlled by govt like mandirs and no special reservation or rights for muslims just like Hindus.  ,Bullying ,Religion
"No funds for haj , no WAQF board. We live in a secular country",Bullying ,Religion
" They can't read, write, do math, or produce anything. But they can kill people, so they are good Muslims. ",Bullying ,Religion
The Muslims in bd are oppressing Hindus and we are supporting such radical nation  ?? ,Bullying ,Religion
"They have already destroyed  our textile industry  along with sending refugees ,",Bullying ,Religion
 distancing itself from the Sharif family and the leadership to form a new political part,Bullying ,Religion
"You dumb idiots, Why would Muslims who don't believe lord sri ram would visit ram mandir. ",Bullying ,Religion
 Muslim there is no such thing as a quranist ; Islam is derived from both Qur'an and sunnah,Bullying ,Religion
because it's no where mention in the Qur'an how to pray ?,Bullying ,Religion
Not. Muslim there is no such thing as a quranist,Bullying ,Religion
 Islam is derived from both Qur'an and sunnah ;,Bullying ,Religion
also how do you pray if you don't believe is sunnah and ahadith,Bullying ,Religion
; if you deny sunnah and ahadith you are.,Bullying ,Religion
"Yes, he welcomed Islamic terrorists to our white house, and refused to honor the Israeli prime minister",Bullying ,Religion
Would you force a Muslim to eat non-Halal? Or an Orthodox Jew to eat pork?,Bullying ,Religion
They're clearly discriminating against him by forcing him to go against his faith &amp; principles.,Bullying ,Religion
"You idiots,anti India critical of Modiji &amp; Shahji forCAA &amp;",Bullying ,Religion
"after lossing 3 state rahul khan Gandhi be like- abhi india ki okaat btake aata hu videsh me""kashmir is voilent state ,india have no democracy ",Bullying ,Religion
"All said and done, these idiots do not understand, by doi g these stupid stuff they are giving fodder to the anti Hindu ",Bullying ,Religion
estival gang to be more vocal against the Hindu festivals,Bullying ,Religion
 We know it can never become lindu rasthtra but it can definitely become Hindu Rashtra. ,Bullying ,Religion
 We know it can never become lindu rasthtra but it can definitely become Hindu Rashtra. Lindu means Islam.,Bullying ,Religion
Bitch ur a joke kno that !,Bullying ,Sexual
girl this nigga make me sick to my stomach,Bullying ,Ethnicity
Whats with loser ass niggas and quote retweeting eeeeverything,Bullying ,Ethnicity
Again get a job nigger,Bullying ,Ethnicity
"People have a choice, whether to feed the white or the black wolf. There are energetic phases of creation and destruction",Bullying ,Ethnicity
"We call the destruction, evil BC that's the way it looks in the Light of day. We would understand this better if we did more Shadow work.",Bullying ,Ethnicity
" called front runners Luka, nigga know better",Bullying ,Ethnicity
 the same thing. And tbh most of the niggas that speak the most on it have no POV ,Bullying ,Ethnicity
bout to not watch this laker game Z AD going piss me off . Nigga a weirdo,Bullying ,Ethnicity
"Niggas try to be break focus, bitch",Bullying ,Ethnicity
m quick to leave a nigga alone,Bullying ,Ethnicity
just kill this man. This could the last eye for an eye Yall let happen but holy fuck most ppl want this man dead besides his dumb ass followers,Bullying ,Ethnicity
i hate how i search up black porn n try to find sum fire ass ebonies n them snow bunnies b popping up ,Bullying ,Ethnicity
Regular nigger with the bag saved,Bullying ,Ethnicity
 realize that racism exists even when you're apart from that race right? ,Bullying ,Ethnicity
black people out here who literally HATE their skin color. They wish they were lighter or born white,Bullying ,Ethnicity
i love the way this nigga think,Bullying ,Ethnicity
"It's a bond that withstands the test of time, like a rock in a stormy sea.",Not-Bullying,
The love between friends is as natural and vital as the air we breathe.,Not-Bullying,
Love is the language that transcends all barriers and unites hearts.,Not-Bullying,
"Natural love is the whisper of the soul, heard only by the heart.",Not-Bullying,
It's the understanding that comes without judgment or explanation.,Not-Bullying,
The beauty of natural love is that it grows stronger with each passing day.,Not-Bullying,
"Love is the bridge that connects us to one another, regardless of our differences.",Not-Bullying,
It's the embrace that mends broken hearts and heals wounded spirits.,Not-Bullying,
Natural love is the light that shines through the darkest of nights.,Not-Bullying,
It's the thread that weaves the tapestry of our lives with joy and meaning.,Not-Bullying,
"True love is patient, kind, and always ready to forgive.",Not-Bullying,
"It's the promise to stand by each other's side, no matter what life brings.",Not-Bullying,
Natural love is the symphony of two hearts beating as one.,Not-Bullying,
Love is the compass that guides us through life's winding paths.,Not-Bullying,
It's the warmth of a loved one's hand on a cold winter's day.,Not-Bullying,
Natural love is the seed that grows into a beautiful and lasting connection.,Not-Bullying,
It's the feeling of completeness when you're with the one you love.,Not-Bullying,
Love is the sunrise in your lover's eyes and the sunset in their smile.,Not-Bullying,
It's the bond that forms between parents and their precious children.,Not-Bullying,
Natural love is the silent strength that supports us when we're weak.,Not-Bullying,
 We know it can never become lindu rasthtra but it can definitely become Hindu Rashtra. ,Bullying ,Religion
 We know it can never become lindu rasthtra but it can definitely become Hindu Rashtra. Lindu means Islam.,Bullying ,Religion
Bitch ur a joke kno that !,Bullying ,Sexual
girl this nigga make me sick to my stomach,Bullying ,Ethnicity
Whats with loser ass niggas and quote retweeting eeeeverything,Bullying ,Ethnicity
Again get a job nigger,Bullying ,Ethnicity
"People have a choice, whether to feed the white or the black wolf. There are energetic phases of creation and destruction",Bullying ,Ethnicity
"We call the destruction, evil BC that's the way it looks in the Light of day. We would understand this better if we did more Shadow work.",Bullying ,Ethnicity
" called front runners Luka, nigga know better",Bullying ,Ethnicity
 the same thing. And tbh most of the niggas that speak the most on it have no POV ,Bullying ,Ethnicity
bout to not watch this laker game Z AD going piss me off . Nigga a weirdo,Bullying ,Ethnicity
"Niggas try to be break focus, bitch",Bullying ,Ethnicity
m quick to leave a nigga alone,Bullying ,Ethnicity
just kill this man. This could the last eye for an eye Yall let happen but holy fuck most ppl want this man dead besides his dumb ass followers,Bullying ,Ethnicity
"Don’t HMU, I’m married” – for all of you guys and girls tired of the DM’s from strangers.",Bullying,Troll
“Where am I?”,Bullying,Troll
"“Help, I’m stuck on the toilet with no toilet paper” – everyone’s biggest fear.",Bullying,Troll
Poke fun at the contact next to you: “The person beside me is a clown.”,Bullying,Troll
"“Say no to books, read Instagram Notes”",Bullying,Troll
“Finally got a new Pear Phone!” – inspired by Nickelodeon icon Tori Vega and her TheSlap.com updates.,Bullying,Troll
“BRB mom needs comp” – when your parents rudely interrupted your MSN session as a kid.,Bullying,Troll
“You have just sent a Nudge!” – MSN fans will know about the nudge wars,Bullying,Troll
“The person reading this is dumb.”,Bullying,Troll
Shot your shot with “you come here often?”,Bullying,Troll
“Venmo me”,Bullying,Troll
“Don’t talk to me”,Bullying,Troll
"“Call me, beep me, if you wanna reach me”",Bullying,Troll
Please don’t put your OnlyFans link here”,Bullying,Troll
“My DM’s are closed”,Bullying,Troll
“*Your name* signed off”,Bullying,Troll
"“Disregard females, acquire currency”",Bullying,Troll
Become one of those fake dating adverts: “HOT SINGLES IN YOUR AREA!” along with some flame emojis.,Bullying,Troll
Insert your CashApp URL and see if your bank total increases,Bullying,Troll
“How do I un-update this?”,Bullying,Troll
Greedy people get trolled all the time. Because money is the biggest joke!,Bullying,Troll
Ever done this? I know I have. My Brother beat the shit out of me though.,Bullying,Troll
"Forget humans and animals, even a software can troll you big time.",Bullying,Troll
Deception can be very funny sometimes. It depends on what you’re looking at.,Bullying,Troll
makeup artist to noy jeno tasnia fariner chamca,Bullying,Troll
tasnia fariner makeup budget kto jano? fifty hjr.tmi vuleo prbana eto tk die krte,Bullying,Troll
Love is the foundation upon which we build our dreams and aspirations.,Not-Bullying,
It's the joy that fills our hearts when we see our loved ones happy.,Not-Bullying,
Natural love is the refuge we seek in times of sorrow and pain.,Not-Bullying,
It's the warmth of a mother's hug and the protection of a father's embrace.,Not-Bullying,
Love is the sweet nostalgia of shared memories and cherished moments.,Not-Bullying,
It's the commitment to love and honor each other through life's journey.,Not-Bullying,
Natural love is the treasure that lies within the hearts of those who embrace it.,Not-Bullying,
It's the tenderness in a lover's kiss and the passion in their touch.,Not-Bullying,
"Love is the bond that forms between siblings, unbreakable and enduring.",Not-Bullying,
It's the trust that allows us to be our true selves without fear of judgment.,Not-Bullying,
Natural love is the feeling of home in the arms of your beloved.,Not-Bullying,
It's the spark that ignites when two souls connect on a profound level.,Not-Bullying,
Love is the laughter that fills the room when friends reunite.,Not-Bullying,
It's the gift of empathy that allows us to understand and support one another.,Not-Bullying,
"Natural love is the promise to always be there for each other, no matter what.",Not-Bullying,
It's the love letters exchanged between hearts separated by distance.,Not-Bullying,
Love is the act of selflessness and putting the needs of others before your own.,Not-Bullying,
It's the shared dreams and aspirations that bind us together.,Not-Bullying,
Natural love is the magic that happens when two people find their soulmates.,Not-Bullying,
It's the feeling of serenity when you're with the one who truly understands you.,Not-Bullying,
Ever done this? I know I have. My Brother beat the shit out of me though.,Bullying,Troll
"Forget humans and animals, even a software can troll you big time.",Bullying,Troll
Deception can be very funny sometimes. It depends on what you’re looking at.,Bullying,Troll
makeup artist to noy jeno tasnia fariner chamca,Bullying,Troll
Now I understand why they slaughter you.,Bullying,Threat
Kick the whore,Bullying,Threat
"Shoot her wherever you find her, you atheist girl..",Bullying,Threat
Iss iss pure gelo sob,Bullying,Sexual
"a Caucasian male can be called white,",Bullying,Ethnicity
"He could be a Caucasian from England, Wales, Scotland, Northern Ireland, or any other number of countries.",Bullying,Ethnicity
"Seriously, how am I the only person that caught this? ",Not-Bullying,
party almost over ,Not-Bullying,
Our favourite teams pushed to the limit,Not-Bullying,
"nationality is a legal identification of a person in international law, establishing the person as a subject,",Bullying,Ethnicity
We need this information to make sure that we’re giving equal opportunities to all candidates.“,Bullying,Ethnicity
Those people should be suspended.,Bullying,Threat
This is really insulting to say that,Bullying,Vocational 
"These comments are very stupid, idiotic, scary and fake",Bullying,Vocational 
"Imagine how kids would feel reading this comment,",Not-Bullying,
Appear tonight and kill me?,Bullying,Threat
"Your new job is a testament to your skills and dedication. Congratulations!""",Not-Bullying,
Wishing you success and fulfillment in this exciting new chapter of your career.,Not-Bullying,
The company is lucky to have someone as talented as you. Well done!,Not-Bullying,
excuse the crimes of Islam rather than get rid of them.,Bullying,Racism
"I have no problem with Hinduism, Christianity, Tao, Judaism, Buddhism or atheism",Bullying,Racism
Not others ,Not-Bullying,
"Follow your dreams and never stop pursuing your passion. You've got this!""",Not-Bullying,
"Your passion is contagious, and I believe in your ability to achieve greatness.",Not-Bullying,
Don't be afraid to chase what sets your soul on fire. The world needs your passion.,Not-Bullying,
you are looking really hot in the photo,Bullying,Sexual
Or religion er thik nai. or god bhul god,Bullying,Religion
tumi to thik moto kothai bolte paro na. facebook e ki koro,Bullying,Vocational
you are looking beautiful,Not-Bullying,
"Every dish you make is a culinary masterpiece. You're a fantastic chef!""",Not-Bullying,
Your cooking always leaves me craving for more. It's simply delicious!,Not-Bullying,
You have a knack for turning simple ingredients into gourmet delights.,Not-Bullying,
Love is the warmth of a pet's unconditional affection and loyalty.,Not-Bullying,
"It's the tears shed in both joy and sorrow, knowing you're not alone.",Not-Bullying,
Natural love is the comfort of knowing that someone cares deeply for you.,Not-Bullying,
It's the strength that allows us to overcome adversity together.,Not-Bullying,
Love is the harmony of two hearts beating in sync.,Not-Bullying,
It's the celebration of each other's successes and triumphs.,Not-Bullying,
"Natural love is the journey of growth and self-discovery, hand in hand.",Not-Bullying,
It's the promise to cherish and protect the bond you share.,Not-Bullying,
Love is the anchor that keeps us grounded in the storms of life.,Not-Bullying,
It's the feeling of pure contentment when you're with the one you love.,Not-Bullying,
Natural love is the unwavering support that lifts us up when we fall.,Not-Bullying,
It's the partnership that makes life's challenges easier to face.,Not-Bullying,
Love is the adventure of exploring life's wonders together.,Not-Bullying,
It's the beauty of seeing the world through each other's eyes.,Not-Bullying,
Natural love is the laughter shared over inside jokes and silly moments.,Not-Bullying,
It's the commitment to building a future filled with love and happiness.,Not-Bullying,
Love is the warmth of a friend's presence during times of need.,Not-Bullying,
It's the comfort of knowing that someone believes in you.,Not-Bullying,
Natural love is the unspoken understanding that binds two souls together.,Not-Bullying,
It's the feeling of safety and security in the arms of your beloved.,Not-Bullying,
You've worked so hard for this moment—enjoy it!,Not-Bullying,
Your achievements continue to inspire us all.,Not-Bullying,
I knew you could do it! Way to go!,Not-Bullying,
Why do Muslims force women to cover up and stay at home?,Bullying ,Religious 
I hate Lucky Charms,Bullying ,Vocational 
The police have to take any terrorist,Bullying ,Threats 
This video is worth going viral.,Bullying ,Threats 
Nuclear weapons pose a threat to everyone.,Bullying ,Threats 
It is hoped that the kidnappers will not carry out their threat to kill the hostages.,Bullying ,Threats 
The police have to take any terrorist,Bullying ,Threats 
Three main line railway stations were closed,Bullying ,Threats 
The key witness for the prosecution was offered police protection after she received ,Bullying ,Threats 
This video is worth going viral.,Bullying ,Threats 
Nuclear weapons pose a threat to everyone.,Bullying ,Threats 
It is hoped that the kidnappers will not carry out their threat to kill the hostages.,Bullying ,Threats 
The police have to take any terrorist,Bullying ,Threats 
Three main line railway stations were closed,Bullying ,Threats 
The key witness for the prosecution was offered police protection after she received ,Bullying ,Threats 
Fuck off,Bullying ,Sexual
"Your channel is like a digital oasis of inspiration and creativity.""",Not-Bullying,
"""I'm always excited to see what new wonders you'll share with us.""",Not-Bullying,
"""Your authenticity is a breath of fresh air in the online world.""",Not-Bullying,
"""Your videos are like a warm hug at the end of a long day.""",Not-Bullying,
"""You have an incredible ability to make complex topics easy to understand.""",Not-Bullying,
"""The passion you pour into your content is truly commendable.""",Not-Bullying,
"""Your storytelling skills are top-notch. I'm always engrossed in your narratives.""",Not-Bullying,
"""You have a remarkable talent for making even the ordinary seem extraordinary.""",Not-Bullying,
"""Your dedication to your craft is an inspiration to us all.""",Not-Bullying,
"""Your channel is proof that beauty and positivity can thrive on the internet.""",Not-Bullying,
"""I'm grateful for the joy and knowledge your videos bring into my life.""",Not-Bullying,
"""Your creativity knows no bounds, and I can't wait to see what you create next.""",Not-Bullying,
"""Your positivity is a shining light in a world that can sometimes feel dark.""",Not-Bullying,
"""You have a knack for making us smile with every upload.""",Not-Bullying,
"""Your content is a testament to the power of passion and hard work.""",Not-Bullying,
"""Your impact reaches far beyond YouTube. You're touching hearts and minds.""",Not-Bullying,
"""Your channel is like a wellspring of optimism and joy.""",Not-Bullying,
"""Thank you for sharing your talents with the world. We're all better for it.""",Not-Bullying,
"""Your videos have a way of making everyday life seem extraordinary.""",Not-Bullying,
"""You're a source of inspiration, and I'm proud to be part of your community.""",Not-Bullying,
"Your videos are a testament to the power of passion and creativity.""",Not-Bullying,
"""Your enthusiasm is infectious, and it's impossible not to be inspired.""",Not-Bullying,
"""Your content has a way of making me feel more connected to the world.""",Not-Bullying,
"""Your channel is like a sanctuary of positivity in a sometimes chaotic digital world.""",Not-Bullying,
"""I can see the love and effort you put into every video. It's truly commendable.""",Not-Bullying,
"""Your storytelling abilities are a gift that brings joy to so many.""",Not-Bullying,
"""You have a genuine talent for making complex subjects accessible and engaging.""",Not-Bullying,
"""Your videos are like a journey, and I'm always excited to come along.""",Not-Bullying,
"""Your authenticity and kindness make you a role model for us all.""",Not-Bullying,
"""Your impact reaches far and wide, touching lives and leaving smiles.""",Not-Bullying,
"""Your creativity knows no boundaries, and it's a pleasure to witness.""",Not-Bullying,
"""Your channel is a reminder of the beauty and wonder that surrounds us.""",Not-Bullying,
"""Thank you for being a source of positivity and inspiration in my life.""",Not-Bullying,
"""Your dedication to your craft sets a high standard for content creators.""",Not-Bullying,
"""Your videos make me appreciate the world and its wonders even more.""",Not-Bullying,
"""Your work is like a work of art, and I'm grateful to experience it.""",Not-Bullying,
"""Your videos brighten my day and leave me with a sense of wonder.""",Not-Bullying,
"""You are a beacon of light in the online community. Keep shining!""",Not-Bullying,
"""Your passion is evident in every frame, and it's truly captivating.""",Not-Bullying,
"""Your channel is a reminder of the endless possibilities of creativity.""",Not-Bullying,
Tomar dara eta jiboneo hobena,Bullying,Vocational
When does the train usually leave?,Not-Bullying,
How cruel you are,Bullying,Vocational
Samne election astece dekhbone k ki kore,Bullying,Ethnicity
I will take it from you.,Not-Bullying,
Why do you talk so badly?,Bullying,Vocational
The country will not improve by you,Bullying,Ethnicity
What Muslim are you talking about you idiot ,Bullying,Religion
You figure is to much hot,Bullying ,Sexual
I kiss u.,Bullying ,Sexual
Take it easy,Not-Bullying ,
Don't worry,Not-Bullying ,
whats the fuck girl,Bullying,Sexual
U are poor people,Bullying ,Vocational
I want to buy a car,Not-Bullying ,
You are my wife,Not-Bullying ,
She looks like a bitch,Bullying,Sexual
Get fucking real dude.,Bullying ,Sexual
Heh. Fuck 'em WHERE?!?,Bullying,Sexual
You know there are people out there who like but don't listen to old school.,Not-Bullying ,
Really miss my classmates n schoolmates. See you all soon people,Not-Bullying ,
Let's talk about what it means to be a victim,Not-Bullying ,
no one ever help.me like my bully,Not-Bullying ,
My friends and me got called niggers by this Mexican chick . ,Bullying ,Ethnicity
Idiot I'm talking about Halal Products not Muslims. Are you saying Halal products means Muslims ?,Bullying ,Religion
"As is said,the basic criteria to be a muslim is to be a chootiya and become katua, that makes you a perfect idiot and follower of Allah",Bullying ,Religion
Israel and US have the same enemies.,Bullying ,Religion
Bangladesh is a looser country ,Bullying,Threats 
Bangladesh are allout o 100 runs.,Bullying,Troll
I love sunny leone and sweet children's ,Not-Bullying ,
Me your big friend from bangladesh,Bullying,Troll
i m not tired babe.....i have been flying like clouds in ur mind,Bullying ,Sexual
Hahaha!  Well take care then. ,Bullying,Troll
Heroalom is fool of bangladesh actor,Bullying,Troll 
Yay! Yaya on the dance floor I like the way she is confident about her body,Not-Bullying,
"Your channel has the power to bring people from all walks of life together.""",Not-Bullying,
"""You make the complex seem simple, and that's a rare and valuable gift.""",Not-Bullying,
"""Your impact on the YouTube community and beyond is immeasurable.""",Not-Bullying,
"""Your content is like a warm cup of tea for the soul. It's comforting and soothing.""",Not-Bullying,
"""Your hard work and dedication shine through in every video you create.""",Not-Bullying,
"""You have a special way of making your viewers feel seen and appreciated.""",Not-Bullying,
"""Your positivity has a ripple effect, touching hearts and spreading joy.""",Not-Bullying,
"""Your videos are like a sanctuary where I can escape and find solace.""",Not-Bullying,
"""Your channel is a testament to the boundless possibilities of creativity and imagination.""",Not-Bullying,
"""Thank you for being a source of light and inspiration. You're making the world a better place.""",Not-Bullying,
sexy guys bby,Bullying ,Sexual 
sexy boobs,Bullying ,Sexual
Ho ha ha u are mad,Bullying ,Troll
Israil the bad country ,Bullying ,Ethnicity 
Gonna fuck,Bullying ,Sexual
Kill u are,Bullying ,Threats 
Killed girls,Bullying ,Threats 
I love it when you touch me just like that.”,Not-Bullying,
“Your skin feels so good up against my skin.”,Not-Bullying,
London er mto khrp ase r ,Bullying ,Ethnicity 
 “I love to taste you.. and I love it when you taste me.”,Not-Bullying,
Hindu fuck,Bullying ,Religion 
“It just feels so good when you're touching me all over.”,Not-Bullying,
“I love how your tongue feels.”,Not-Bullying,
“You smell so delicious.”,Not-Bullying,
Sex sex sex ,Bullying ,Sexual
“What you’re doing feels amazing.,Bullying ,Sexual
Tonight I am going to kiss every inch of your body,Bullying ,Sexual
Tonight I want you to take control.,Bullying ,Sexual
I want you to touch my,Bullying ,Sexual
"current sex life, Anna enjoys choking",Bullying ,Sexual
I support sexual choking as part of my sex life.”,Bullying ,Sexual
You make me feel so wet between my thighs!’,Bullying ,Sexual
‘I don’t usually say this out loud but you’re just so sexy…,Bullying ,Sexual
I need your body next to me tonight.,Bullying ,Sexual
I want to share every inch of my body with you!’,Bullying ,Sexual
Fucking ,Bullying ,Sexual
What the fuck of this,Bullying ,Sexual
Love is the promise to stand by each other's side through thick and thin.,Not-Bullying,
It's the shared dreams and goals that give life purpose and meaning.,Not-Bullying,
"Natural love is the gentle touch that says, ""I'm here for you.""",Not-Bullying,
It's the joy of watching your loved ones achieve their dreams.,Not-Bullying,
Love is the happiness that comes from making each other smile.,Not-Bullying,
"It's the strength to face life's challenges together, hand in hand.",Not-Bullying,
Natural love is the treasure of a heart that beats for another.,Not-Bullying,
It's the feeling of completeness when you're with your soulmate.,Not-Bullying,
Love is the acceptance of each other's flaws and imperfections.,Not-Bullying,
"It's the promise to never give up on each other, no matter what.",Not-Bullying,
Natural love is the melody that fills your heart when you're in love.,Not-Bullying,
It's the inspiration that comes from the one who believes in you.,Not-Bullying,
Love is the connection that,Not-Bullying,
Relationships,Not-Bullying,
Nature and Seasons,Not-Bullying,
Time and Memories,Not-Bullying,
Dreams and Aspirations,Not-Bullying,
Loneliness and Solitude,Not-Bullying,
Beauty and Aesthetics,Not-Bullying,
